506,AW00011505,Jasmine Powell,53,50 and Above,New,2013-12-24,140,36,845,22,10,23,84
7733,AW00018732,Zachary Jai,88,50 and Above,New,2014-01-27,139,4,114,4,0,28,114
14673,AW00025672,Janelle Subram,45,40-49,New,2013-02-15,150,2,7,2,0,3,7
16806,AW00027805,Barbara Ye,57,50 and Above,New,2013-11-11,141,3,49,3,0,16,49
7050,AW00018049,Patrick Watson,48,40-49,New,2013-09-13,143,3,1786,3,0,595,1786
5083,AW00016082,Autumn Zeng,46,40-49,New,2013-06-27,146,2,40,2,0,20,40
6459,AW00017458,Jason Collins,60,50 and Above,New,2013-11-09,141,4,2370,4,0,592,2370
3698,AW00014697,Nelson Jimenez,48,40-49,VIP,2013-09-30,143,6,6684,6,28,1114,238
11516,AW00022515,Alexa Morris,41,40-49,New,2013-08-10,144,3,554,3,0,184,554
6902,AW00017901,Keith Tang,72,50 and Above,New,2013-11-01,141,3,31,3,0,10,31
17554,AW00028553,Sabrina Serrano,47,40-49,Regular,2013-10-30,142,3,3216,3,19,1072,169
4134,AW00015133,Raul Rai,46,40-49,VIP,2013-12-25,140,7,5237,7,14,748,374
2244,AW00013243,Alyssa Davis,68,50 and Above,Regular,2013-05-27,147,3,4512,3,15,1504,300
3662,AW00014661,Jade Ward,62,50 and Above,New,2013-08-04,144,10,195,10,3,19,65
14536,AW00025535,Brandi Navarro,83,50 and Above,New,2013-09-02,143,2,40,2,0,20,40
494,AW00011493,Dawn Wu,49,40-49,VIP,2013-09-12,143,6,6959,6,22,1159,316
2692,AW00013691,Ariana Bailey,42,40-49,VIP,2013-08-28,144,5,5977,5,30,1195,199
3813,AW00014812,Hunter Henderson,54,50 and Above,New,2013-05-29,147,3,64,3,0,21,64
9656,AW00020655,Edward Butler,50,50 and Above,New,2013-09-01,143,4,47,4,0,11,47
1174,AW00012173,Dalton Edwards,58,50 and Above,VIP,2013-03-05,149,4,5929,4,16,1482,370
6947,AW00017946,Jocelyn Washington,56,50 and Above,New,2013-09-19,143,2,3883,2,11,1941,353
2597,AW00013596,Billy Gomez,69,50 and Above,New,2013-02-10,150,1,10,1,0,10,10
8834,AW00019833,Michelle Kelly,78,50 and Above,New,2013-04-12,148,1,70,1,0,70,70
17579,AW00028578,Zoe Rogers,42,40-49,New,2014-01-15,139,2,40,2,0,20,40
2477,AW00013476,Timothy Hall,65,50 and Above,New,2013-06-17,146,2,76,2,0,38,76
8421,AW00019420,Stanley Raman,61,50 and Above,Regular,2013-12-06,140,8,4315,8,29,539,148
4151,AW00015150,Colleen Shan,50,50 and Above,Regular,2013-10-01,142,3,4379,3,12,1459,364
6568,AW00017567,Nathaniel Cook,49,40-49,New,2013-07-03,145,2,1710,2,0,855,1710
16555,AW00027554,Jordyn West,54,50 and Above,New,2012-12-16,152,1,2071,1,0,2071,2071
14181,AW00025180,Ana Simmons,59,50 and Above,New,2013-05-21,147,3,2447,3,0,815,2447
2632,AW00013631,Joe Subram,47,40-49,VIP,2013-12-21,140,8,6817,7,17,852,401
1321,AW00012320,Cheryl Alvarez,62,50 and Above,New,2013-10-26,142,4,78,4,2,19,39
16473,AW00027472,Mindy Chande,72,50 and Above,New,2013-11-30,141,5,1346,5,11,269,122
17436,AW00028435,Edwin Liu,44,40-49,New,2014-01-20,139,3,43,3,0,14,43
1067,AW00012066,Wyatt Powell,75,50 and Above,New,2013-09-18,143,2,85,2,6,42,14
